"from","to"
"CelestialBody","Galaxy"
"CelestialBody","Planet"
"CelestialBody","Asteroid"
"CelestialBody","Star"
"CelestialBody","Satellite"
"CelestialBody","Nebula"
"PopulatedPlace","Settlement"
"PopulatedPlace","Region"
"PopulatedPlace","Country"
"PopulatedPlace","Territory"
"PopulatedPlace","Street"
"PopulatedPlace","Community"
"PopulatedPlace","GatedCommunity"
"PopulatedPlace","Intercommunality"
"PopulatedPlace","Continent"
"PopulatedPlace","Island"
"PopulatedPlace","State"
"PopulatedPlace","Agglomeration"
"PopulatedPlace","Locality"
"ArchitecturalStructure","Building"
"ArchitecturalStructure","Monument"
"ArchitecturalStructure","Pyramid"
"ArchitecturalStructure","Mill"
"ArchitecturalStructure","Arena"
"ArchitecturalStructure","AmusementParkAttraction"
"ArchitecturalStructure","Zoo"
"ArchitecturalStructure","Tower"
"ArchitecturalStructure","Tunnel"
"ArchitecturalStructure","MilitaryStructure"
"ArchitecturalStructure","SportFacility"
"ArchitecturalStructure","Square"
"ArchitecturalStructure","Infrastructure"
"Mine","CoalPit"
"Gene","MouseGene"
"Gene","HumanGene"
"Person","Chef"
"Person","Royalty"
"Person","TelevisionDirector"
"Person","MemberResistanceMovement"
"Person","Presenter"
"Person","Linguist"
"Person","Coach"
"Person","Aristocrat"
"Person","Philosopher"
"Person","Egyptologist"
"Person","Politician"
"Person","Referee"
"Person","Astronaut"
"Person","HorseTrainer"
"Person","Producer"
"Person","Religious"
"Person","Psychologist"
"Person","Model"
"Person","OfficeHolder"
"Person","Economist"
"Person","Architect"
"Person","BusinessPerson"
"Person","Farmer"
"Person","Man"
"Person","Noble"
"Person","Writer"
"Person","Lawyer"
"Person","TheatreDirector"
"Person","Monarch"
"Person","Cleric"
"Person","PoliticianSpouse"
"Person","BeautyQueen"
"Person","Woman"
"Person","Athlete"
"Person","Engineer"
"Person","OrganisationMember"
"Person","Journalist"
"Person","Artist"
"Person","MilitaryPerson"
"Person","Judge"
"Person","Criminal"
"Person","DBpedian"
"Person","SportsManager"
"Person","PlayboyPlaymate"
"Person","Scientist"
"Person","RomanEmperor"
"Person","Archeologist"
"Person","MovieDirector"
"FictionalCharacter","NarutoCharacter"
"FictionalCharacter","DisneyCharacter"
"FictionalCharacter","MythologicalFigure"
"FictionalCharacter","ComicsCharacter"
"FictionalCharacter","SoapCharacter"
"Family","NobleFamily"
"Organisation","Group"
"Organisation","Non-ProfitOrganisation"
"Organisation","TradeUnion"
"Organisation","SportsClub"
"Organisation","Broadcaster"
"Organisation","EmployersOrganisation"
"Organisation","SambaSchool"
"Organisation","SportsLeague"
"Organisation","GeopoliticalOrganisation"
"Organisation","SportsTeam"
"Organisation","Legislature"
"Organisation","ReligiousOrganisation"
"Organisation","GovernmentAgency"
"Organisation","EducationalInstitution"
"Organisation","Parliament"
"Organisation","MilitaryUnit"
"Organisation","PoliticalParty"
"Organisation","TermOfOffice"
"Organisation","Company"
"Organisation","InternationalOrganisation"
"CollectionOfValuables","Archive"
"WrittenWork","Comic"
"WrittenWork","Letter"
"WrittenWork","MultiVolumePublication"
"WrittenWork","StatedResolution"
"WrittenWork","Annotation"
"WrittenWork","Treaty"
"WrittenWork","Play"
"WrittenWork","PeriodicalLiterature"
"WrittenWork","Drama"
"WrittenWork","Law"
"WrittenWork","Article"
"WrittenWork","Resume"
"WrittenWork","Quote"
"WrittenWork","Poem"
"WrittenWork","Book"
"Cartoon","Anime"
"Cartoon","HollywoodCartoon"
"MusicalWork","Opera"
"MusicalWork","Album"
"MusicalWork","Single"
"MusicalWork","ClassicalMusicComposition"
"MusicalWork","Musical"
"MusicalWork","Song"
"MusicalWork","ArtistDiscography"
"MusicalWork","NationalAnthem"
"Document","Image"
"Document","File"
"Document","Sound"
"Database","BiologicalDatabase"
"Artwork","Sculpture"
"Artwork","Painting"
"Software","VideoGame"
"Beverage","Wine"
"Beverage","Beer"
"Beverage","Vodka"
"Sport","TeamSport"
"Sport","Athletics"
"Game","CardGame"
"Game","BoardGame"
"Case","LegalCase"
"Project","ResearchProject"
"Aircraft","MilitaryAircraft"
"On-SiteTransportation","ConveyorSystem"
"On-SiteTransportation","Escalator"
"On-SiteTransportation","MovingWalkway"
"Engine","AutomobileEngine"
"Engine","RocketEngine"
"Camera","DigitalCamera"
"Instrument","Organ"
"Instrument","Guitar"
"Competition","Contest"
"LifeCycleEvent","PersonalEvent"
"SocietalEvent","Election"
"SocietalEvent","MilitaryConflict"
"SocietalEvent","Rebellion"
"SocietalEvent","Meeting"
"SocietalEvent","FilmFestival"
"SocietalEvent","AcademicConference"
"SocietalEvent","Convention"
"SocietalEvent","Attack"
"SocietalEvent","SpaceMission"
"SocietalEvent","HistoricalEvent"
"SocietalEvent","MusicFestival"
