Progress:   0.2% words/sec/thread:  874859 lr: 0.0848446 loss:   2.29542 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  874175 lr: 0.0848424 loss:   2.29581 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873763 lr: 0.0848401 loss:   2.34951 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873241 lr: 0.0848379 loss:   2.31409 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873274 lr: 0.0848355 loss:   2.28474 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873226 lr: 0.0848332 loss:   2.27737 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  873151 lr: 0.0848309 loss:   2.29637 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872836 lr: 0.0848286 loss:   2.28871 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872017 lr: 0.0848265 loss:   2.28398 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871206 lr: 0.0848243 loss:   2.27134 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870416 lr: 0.0848221 loss:   2.27154 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  868606 lr: 0.0848202 loss:   2.24927 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867743 lr:  0.084818 loss:   2.24375 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867483 lr: 0.0848158 loss:    2.2331 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  867798 lr: 0.0848134 loss:   2.25142 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  868810 lr: 0.0848109 loss:   2.27578 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  869372 lr: 0.0848084 loss:   2.28918 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  869668 lr:  0.084806 loss:   2.29405 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870181 lr: 0.0848036 loss:   2.29111 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870918 lr: 0.0848011 loss:   2.29799 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  870979 lr: 0.0847988 loss:   2.29919 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871269 lr: 0.0847964 loss:   2.28943 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871826 lr: 0.0847939 loss:   2.28929 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871623 lr: 0.0847917 loss:   2.29123 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871763 lr: 0.0847893 loss:   2.29721 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  871704 lr:  0.084787 loss:   2.30205 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872141 lr: 0.0847846 loss:   2.29905 ETA:   0h 3m
Progress:   0.2% words/sec/thread:  872895 lr: 0.0847821 loss:   2.29913 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  873535 lr: 0.0847796 loss:    2.3067 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  874345 lr:  0.084777 loss:   2.31328 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  874939 lr: 0.0847745 loss:   2.32632 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  875317 lr: 0.0847721 loss:   2.32413 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  874867 lr: 0.0847699 loss:   2.30234 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  874825 lr: 0.0847676 loss:   2.30549 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  874960 lr: 0.0847652 loss:   2.35019 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  875180 lr: 0.0847628 loss:   2.35594 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  875143 lr: 0.0847605 loss:   2.36008 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  875875 lr: 0.0847579 loss:   2.35958 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  876516 lr: 0.0847554 loss:   2.35819 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  877312 lr: 0.0847529 loss:   2.35505 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  877873 lr: 0.0847504 loss:   2.35094 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  878219 lr: 0.0847479 loss:   2.34747 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  878896 lr: 0.0847454 loss:   2.34461 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  879735 lr: 0.0847428 loss:   2.34217 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  880225 lr: 0.0847403 loss:   2.33996 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  881279 lr: 0.0847376 loss:   2.33677 ETA:   0h 3m
Progress:   0.3% words/sec/thread:  881598 lr: 0.0847352 loss:   2.33441 ETA:   0h 3m
